status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
85014209445_10156119508739446,#Amul Topical: Bollywood’s latest blockbuster hit!,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156119507734446/?type=3,2017-12-27 07:40:04,14732,56,238,13339,338,39,1008,2,5,1
85014209445_10156119465249446,Enjoy every bite of the crunchy goodness that is #Amul Potato Wedges.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156119465014446/?type=3,2017-12-27 07:15:35,308,9,29,293,11,4,0,0,0,0
85014209445_10156119267839446,#Amul wishes Salman Khan a very Happy Birthday.,,video,https://www.facebook.com/amul.coop/videos/10156119267839446/,2017-12-27 04:47:54,305,6,30,281,10,0,14,0,0,0
85014209445_10156119245614446,Relish a sweet experience with #Amul Milk Cake,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156119245094446/?type=3,2017-12-27 04:23:20,534,13,39,506,20,6,2,0,0,0
85014209445_10156117147314446,An utterly butterly delicious life awaits you.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156117146504446/?type=3,2017-12-26 21:30:00,481,5,49,461,17,2,1,0,0,0
85014209445_10156117005814446,Give your desserts a chocolaty twist with #Amul Chocolate Syrup.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156117005534446/?type=3,2017-12-26 08:30:00,354,6,29,343,9,2,0,0,0,0
85014209445_10156116968269446,"Presenting Amul Kool Café, the tastiest and healthiest Cold Coffee in town.",,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156116967934446/?type=3,2017-12-26 06:43:39,408,7,39,392,13,2,1,0,0,0
85014209445_10156116907359446,#Amul Topical : RJD leader in jail for the fodder scam…,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156116905884446/?type=3,2017-12-26 05:56:59,8654,37,332,6917,86,6,1632,5,7,1
85014209445_10156116685599446,Devour the fresh and delicious #Amul Rasmalai.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156116684409446/?type=3,2017-12-26 02:41:41,402,5,22,369,26,6,1,0,0,0
85014209445_10156108400694446,Start your mornings #fresh with the goodness of pure #milk.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156108398309446/?type=3,2017-12-25 21:30:00,342,5,33,329,8,3,2,0,0,0
85014209445_10156108362104446,Celebrate #Christmas with a cheesy slice of #Pizza.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156108361179446/?type=3,2017-12-25 07:30:00,281,6,23,274,4,0,3,0,0,0
